순번,이름,나이,성별,지역,직업,교육수준,소득분위,결혼상태,관심사,가치관,라이프스타일,성격특성,미디어소비,쇼핑습관,사회적관계
11,가상인물_481737025,12,남성,부산,초등학생,초졸,40-60%,미혼,"게임, 패션/뷰티, 음악, 여행","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 가족, 개인주의, 환경 보호, 공정성 중시, 개인 성장",중고등학생군,INFP,유튜브/OTT 시청,미지정,가족 중심 문화
12,가상인물_666658013,56,남성,경북,공무원,대졸,상위 20%,기혼,"요리, 패션/뷰티, 독서, 게임, IT/기술","사회적 기여, 합리성, 자유, 명예, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",액티브시니어족,ENTJ,웹툰/웹소설 소비,미지정,가족 중심 문화
13,가상인물_818727853,75,여성,제주,은퇴자,고졸,상위 20%,기혼,"영화/드라마, 운동, 게임","안정 추구, 안정, 건강, 희생, 가족 중시, 전통 존중, 공동체 의식",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 가족 중심 문화"
14,가상인물_365785465,22,여성,서울,소상공인,고졸,40-60%,기혼,"요리, IT/기술, 여행, 재테크, 음악","사회적 기여, 다양성 존중, 가치소비, 성공, 디지털 네이티브, 가족, 명예, 개인주의, 공정성 중시",신혼부부군,ISFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 선후배 관계 중시, 가족 중심 문화"
15,가상인물_564996365,34,남성,경기,기술직,초졸,60-80%,기혼,"반려동물, 게임, 요리","경험 중시, 사회적 가치, 개성 표현, 자유, 가족, 안정, 재테크 관심, 워라밸",신혼부부군,ISFP,유튜브/OTT 시청,미지정,가족 중심 문화
16,가상인물_113898123,46,남성,경기,교사,고졸,20-40%,기혼,"독서, 요리, 반려동물, 여행","합리성, 명예, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",중고등자녀보유군,ISFJ,웹툰/웹소설 소비,미지정,집단주의적 성향
17,가상인물_287907471,30,여성,경남,교사,대졸,하위 20%,이혼,"요리, 패션/뷰티, IT/기술, 영화/드라마, 게임, 재테크","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 가족, 명예, 재테크 관심, 건강, 워라밸, 개인 성장",나혼산족,INFP,웹툰/웹소설 소비,미지정,"가족 중심 문화, 정 문화, 체면 중시"
18,가상인물_246592421,50,남성,경기,영업/마케팅,대졸,60-80%,기혼,"IT/기술, 여행, 재테크","성공, 합리성, 자유, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",자녀결혼군,ENTJ,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 가족 중심 문화"
19,가상인물_262449658,24,남성,전남,공무원,고졸,60-80%,미혼,"요리, 여행, 반려동물, IT/기술, 패션/뷰티, 게임","다양성 존중, 가치소비, 디지털 네이티브, 자유, 안정, 개인주의, 공정성 중시, 개인 성장, 재물",나혼산족,INFP,뉴스 앱/포털 이용,미지정,"체면 중시, 선후배 관계 중시"
20,가상인물_399423667,55,여성,충남,공무원,대졸,20-40%,기혼,"게임, IT/기술, 영화/드라마","사회적 기여, 성공, 합리성, 명예, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",자녀결혼군,INFJ,뉴스 앱/포털 이용,미지정,"정 문화, 가족 중심 문화, 집단주의적 성향"
21,가상인물_828199648,34,여성,강원,전업주부,고졸,20-40%,미혼,"반려동물, IT/기술, 영화/드라마, 여행, 음악","경험 중시, 사회적 가치, 개성 표현, 자유, 명예, 재테크 관심, 워라밸",펫팸족,INFP,뉴스 앱/포털 이용,미지정,가족 중심 문화
22,가상인물_557945749,42,남성,경기,임업,대졸,상위 20%,기혼,"독서, 재테크, 운동, 반려동물, 영화/드라마, 봉사활동","경험 중시, 사회적 기여, 성공, 사회적 가치, 개성 표현, 자유, 명예, 재테크 관심, 워라밸",펫팸족,INFJ,SNS 활발,미지정,"선후배 관계 중시, 가족 중심 문화"
23,가상인물_954320570,76,남성,인천,취업준비생,고졸,상위 20%,기혼,"재테크, IT/기술, 봉사활동, 반려동물, 패션/뷰티, 독서","안정 추구, 안정, 공동체 의식, 환경 보호, 개인 성장, 가족 중시, 전통 존중, 희생",실버군,ISFJ,유튜브/OTT 시청,미지정,"체면 중시, 집단주의적 성향, 가족 중심 문화"
24,가상인물_545374049,45,여성,세종,"전문직(의사, 변호사 등)",대학원졸,상위 20%,미혼,"음악, 여행, 봉사활동","사회적 기여, 합리성, 개성, 건강, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",나혼산족,INFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 체면 중시, 선후배 관계 중시"
25,가상인물_380156992,61,여성,경기,은퇴자,대졸,하위 20%,기혼,"패션/뷰티, IT/기술, 여행","성공, 안정 추구, 희생, 개인 성장, 가족 중시, 전통 존중, 공동체 의식",실버군,ISFJ,SNS 활발,미지정,"체면 중시, 집단주의적 성향, 선후배 관계 중시"
26,가상인물_234727575,90,남성,대전,어업,중졸,40-60%,미혼,"재테크, IT/기술, 독서, 음악, 패션/뷰티, 운동","안정 추구, 희생, 가족 중시, 개인 성장, 전통 존중, 공동체 의식, 재물",실버군,ISFJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 집단주의적 성향, 정 문화"
27,가상인물_228845192,73,여성,서울,취업준비생,대졸,40-60%,기혼,"재테크, 게임, 독서, 반려동물","자유, 가족, 명예, 안정 추구, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생, 재물",펫팸족,ISFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 선후배 관계 중시"
28,가상인물_750295261,28,남성,강원,프리랜서,고졸,60-80%,미혼,"재테크, 봉사활동, 요리","경험 중시, 사회적 가치, 개성 표현, 자유, 안정, 재테크 관심, 워라밸",나혼산족,INFP,SNS 활발,미지정,"집단주의적 성향, 체면 중시, 정 문화"
29,가상인물_740419558,61,남성,광주,프리랜서,대졸,하위 20%,미혼,"여행, 게임, 패션/뷰티","성공, 가족, 안정 추구, 희생, 가족 중시, 전통 존중, 공동체 의식",나혼산족,ISFJ,유튜브/OTT 시청,미지정,선후배 관계 중시
30,가상인물_210416040,44,남성,경북,교사,고졸,60-80%,기혼,"패션/뷰티, 운동, 여행","경험 중시, 사회적 기여, 성공, 사회적 가치, 개성 표현, 가족, 재테크 관심, 환경 보호, 워라밸",중고등자녀보유군,ISFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 가족 중심 문화, 체면 중시"
31,가상인물_602128241,51,남성,경기,중소기업 대표,대졸,60-80%,미혼,"IT/기술, 봉사활동, 요리, 패션/뷰티","성공, 합리성, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",나혼산족,ENTJ,SNS 활발,미지정,"가족 중심 문화, 선후배 관계 중시"
32,가상인물_207378149,18,남성,경기,중학생,대졸,20-40%,기혼,"요리, IT/기술, 독서","다양성 존중, 가치소비, 디지털 네이티브, 자유, 명예, 개인주의, 건강, 환경 보호, 공정성 중시",중고등학생군,INFP,유튜브/OTT 시청,미지정,"선후배 관계 중시, 가족 중심 문화"
33,가상인물_683604381,47,여성,경기,"전문직(의사, 변호사 등)",대학원졸,40-60%,기혼,"반려동물, 음악, 영화/드라마, 봉사활동, 게임","성공, 합리성, 가족, 안정, 개성, 건강, 가족과 개인의 균형, 문화적 개방성, 자기계발",펫팸족,INFJ,뉴스 앱/포털 이용,미지정,체면 중시
34,가상인물_637475982,41,남성,대구,사무직,대졸,20-40%,미혼,"영화/드라마, 봉사활동, 운동, 재테크","경험 중시, 성공, 사회적 가치, 개성 표현, 재테크 관심, 환경 보호, 워라밸",나혼산족,INFJ,유튜브/OTT 시청,미지정,"집단주의적 성향, 가족 중심 문화, 선후배 관계 중시"
35,가상인물_668066840,60,여성,충남,소상공인,고졸,20-40%,미혼,"운동, 요리, 반려동물, 게임, 여행, 영화/드라마","자유, 가족, 안정, 안정 추구, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,체면 중시
36,가상인물_366713523,13,남성,경남,초등학생,초졸,20-40%,미혼,"IT/기술, 봉사활동, 재테크","사회적 기여, 다양성 존중, 가치소비, 성공, 디지털 네이티브, 명예, 개인주의, 공정성 중시, 개인 성장, 재물",중고등학생군,INFP,웹툰/웹소설 소비,미지정,정 문화
37,가상인물_854889943,32,여성,경기,기타 무직,대졸,하위 20%,미혼,"봉사활동, 반려동물, 패션/뷰티, 운동, 게임","경험 중시, 사회적 가치, 개성 표현, 재테크 관심, 건강, 워라밸, 개인 성장, 재물",나혼산족,INFP,유튜브/OTT 시청,미지정,정 문화
38,가상인물_282428922,91,여성,경기,취업준비생,고졸,40-60%,이혼,"IT/기술, 재테크, 반려동물","사회적 기여, 안정 추구, 명예, 안정, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",실버군,ISFJ,유튜브/OTT 시청,미지정,"집단주의적 성향, 체면 중시, 정 문화"
39,가상인물_356176778,29,여성,광주,임업,대졸,하위 20%,미혼,"패션/뷰티, 요리, 운동, IT/기술, 영화/드라마, 봉사활동","경험 중시, 성공, 사회적 가치, 개성 표현, 재테크 관심, 워라밸, 재물",나혼산족,INFP,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 가족 중심 문화, 정 문화"
40,가상인물_475706380,59,남성,경기,전업주부,대졸,상위 20%,미혼,"운동, 패션/뷰티, 독서, 게임, 재테크","사회적 기여, 합리성, 자유, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",액티브시니어족,INFP,유튜브/OTT 시청,미지정,집단주의적 성향
41,가상인물_667710022,63,여성,대전,소상공인,고졸,60-80%,미혼,"요리, 독서, 음악, IT/기술, 영화/드라마","자유, 가족, 명예, 안정 추구, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",나혼산족,ISFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 선후배 관계 중시"
42,가상인물_525780575,35,여성,경북,임업,대학원졸,40-60%,사별,"패션/뷰티, 독서, 봉사활동","경험 중시, 사회적 가치, 개성 표현, 가족, 안정, 재테크 관심, 워라밸",나혼산족,ISFJ,유튜브/OTT 시청,미지정,집단주의적 성향
43,가상인물_862323502,60,여성,경기,기타 무직,초졸,40-60%,이혼,"여행, 반려동물, 영화/드라마, 봉사활동","사회적 기여, 안정 추구, 안정, 희생, 가족 중시, 전통 존중, 공동체 의식",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 가족 중심 문화, 선후배 관계 중시"
44,가상인물_257599715,3,여성,경기,초등학생,초졸,60-80%,기혼,"재테크, 봉사활동, 요리, 패션/뷰티, 영화/드라마, 음악","자유, 가족",유아자녀보유군,ISFJ,유튜브/OTT 시청,미지정,"정 문화, 가족 중심 문화"
45,가상인물_628311615,24,남성,경북,공무원,대졸,하위 20%,기혼,"요리, IT/기술, 재테크","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 개인주의, 공정성 중시, 재물",신혼부부군,ISTJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 선후배 관계 중시"
46,가상인물_977183347,25,남성,전북,사무직,고졸,60-80%,미혼,"패션/뷰티, 음악, 운동, 봉사활동","경험 중시, 성공, 사회적 가치, 개성 표현, 자유, 명예, 안정, 재테크 관심, 건강, 워라밸",사회초년생군,ENFP,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 정 문화"
47,가상인물_993736074,98,여성,경기,은퇴자,고졸,하위 20%,미혼,"독서, 봉사활동, 재테크, 게임, 요리, 반려동물","자유, 명예, 안정, 안정 추구, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생",실버군,ISFJ,SNS 활발,미지정,"체면 중시, 가족 중심 문화"
48,가상인물_415907296,100,여성,인천,기타 무직,대졸,20-40%,미혼,"IT/기술, 반려동물, 게임, 봉사활동, 음악, 재테크","성공, 안정 추구, 명예, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생",실버군,ISFJ,SNS 활발,미지정,선후배 관계 중시
49,가상인물_747873614,47,여성,경기,공무원,고졸,20-40%,기혼,"여행, 요리, 음악, 독서, 영화/드라마, 재테크","합리성, 자유, 명예, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",신혼부부군,ISFJ,웹툰/웹소설 소비,미지정,집단주의적 성향
50,가상인물_680108144,93,남성,서울,기타 무직,초졸,60-80%,미혼,"독서, 게임, 봉사활동, IT/기술","자유, 명예, 안정 추구, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생",실버군,INFJ,뉴스 앱/포털 이용,미지정,"정 문화, 가족 중심 문화, 선후배 관계 중시"
51,가상인물_944654605,45,남성,경기,프리랜서,대졸,하위 20%,미혼,"여행, IT/기술, 요리, 독서, 반려동물, 패션/뷰티","합리성, 자유, 명예, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",나혼산족,INTP,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 정 문화"
52,가상인물_810752336,49,여성,서울,영업/마케팅,대학원졸,40-60%,기혼,"음악, 요리, 재테크, 운동, 독서, IT/기술","합리성, 명예, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",자녀결혼군,ENFJ,유튜브/OTT 시청,미지정,"정 문화, 집단주의적 성향"
53,가상인물_916045275,46,남성,경기,사무직,고졸,60-80%,미혼,"게임, 음악, 봉사활동, 재테크, 여행, IT/기술","사회적 기여, 성공, 합리성, 명예, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",나혼산족,INTJ,SNS 활발,미지정,"정 문화, 체면 중시"
54,가상인물_662941717,27,남성,충남,중소기업 대표,대졸,60-80%,기혼,"게임, 패션/뷰티, 요리","경험 중시, 사회적 기여, 성공, 사회적 가치, 개성 표현, 재테크 관심, 환경 보호, 워라밸, 재물",신혼부부군,ENTJ,유튜브/OTT 시청,미지정,체면 중시
55,가상인물_304291884,59,여성,경기,소상공인,대졸,상위 20%,이혼,"독서, 반려동물, IT/기술, 운동, 재테크, 패션/뷰티","사회적 기여, 합리성, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",액티브시니어족,ENTJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 가족 중심 문화, 체면 중시"
56,가상인물_710951382,16,여성,경기,고등학생,고졸,상위 20%,기혼,"영화/드라마, 음악, 운동, 게임, IT/기술, 봉사활동","다양성 존중, 가치소비, 성공, 디지털 네이티브, 안정, 개인주의, 공정성 중시, 개인 성장",중고등학생군,ENFP,웹툰/웹소설 소비,미지정,가족 중심 문화
57,가상인물_656548296,39,여성,인천,공무원,고졸,60-80%,미혼,"재테크, 요리, 게임","경험 중시, 사회적 기여, 성공, 사회적 가치, 개성 표현, 자유, 안정, 재테크 관심, 워라밸",나혼산족,ISFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 선후배 관계 중시"
58,가상인물_746561187,9,여성,서울,중학생,초졸,40-60%,기혼,"패션/뷰티, 영화/드라마, 재테크","자유, 안정, 개인 성장, 재물",초등자녀보유군,ISFJ,유튜브/OTT 시청,미지정,정 문화
59,가상인물_274590582,19,남성,충남,초등학생,고졸,20-40%,미혼,"게임, 패션/뷰티, 독서, 영화/드라마","다양성 존중, 가치소비, 성공, 디지털 네이티브, 안정, 개인주의, 건강, 공정성 중시, 재물",중고등학생군,INFP,유튜브/OTT 시청,미지정,"가족 중심 문화, 선후배 관계 중시"
60,가상인물_704134164,85,남성,경기,어업,대학원졸,하위 20%,이혼,"여행, IT/기술, 독서, 운동, 음악","안정 추구, 명예, 희생, 가족 중시, 전통 존중, 공동체 의식, 재물",실버군,ISFJ,유튜브/OTT 시청,미지정,"집단주의적 성향, 선후배 관계 중시, 체면 중시"
61,가상인물_966034648,54,여성,서울,"전문직(의사, 변호사 등)",고졸,40-60%,기혼,"IT/기술, 재테크, 요리","성공, 합리성, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",자녀결혼군,ISTJ,SNS 활발,미지정,"가족 중심 문화, 체면 중시"
62,가상인물_971386071,58,여성,경남,중소기업 대표,고졸,20-40%,기혼,"독서, 운동, 봉사활동, 반려동물, 패션/뷰티","성공, 합리성, 개성, 건강, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",액티브시니어족,ESTJ,뉴스 앱/포털 이용,미지정,정 문화
63,가상인물_731434760,31,남성,경기,공무원,대졸,20-40%,기혼,"봉사활동, 음악, 게임","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 자유, 안정, 재테크 관심, 환경 보호, 워라밸",신혼부부군,INFJ,웹툰/웹소설 소비,미지정,체면 중시
64,가상인물_730302687,26,남성,울산,취업준비생,고졸,하위 20%,기혼,"게임, 독서, 운동, 패션/뷰티, 음악","경험 중시, 성공, 사회적 가치, 개성 표현, 가족, 자유, 안정, 재테크 관심, 환경 보호, 워라밸",신혼부부군,ISFJ,웹툰/웹소설 소비,미지정,"체면 중시, 집단주의적 성향"
65,가상인물_725179100,27,남성,서울,사무직,대학원졸,40-60%,미혼,"여행, 봉사활동, 재테크, 운동, 독서, 요리","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 안정, 재테크 관심, 환경 보호, 워라밸, 개인 성장, 재물",나혼산족,INFP,유튜브/OTT 시청,미지정,"가족 중심 문화, 선후배 관계 중시, 정 문화"
66,가상인물_141709461,79,여성,부산,기타 무직,대졸,상위 20%,기혼,"여행, 요리, 운동, 영화/드라마, 게임","성공, 가족, 안정 추구, 공동체 의식, 건강, 환경 보호, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ESFJ,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 정 문화, 집단주의적 성향"
67,가상인물_800747591,48,여성,경기,영업/마케팅,중졸,하위 20%,미혼,"독서, 요리, IT/기술, 반려동물, 음악, 게임","성공, 합리성, 자유, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",나혼산족,INFP,뉴스 앱/포털 이용,미지정,"체면 중시, 가족 중심 문화, 정 문화"
68,가상인물_319187002,26,남성,충북,기술직,대졸,하위 20%,미혼,"게임, 봉사활동, 음악, 요리","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 명예, 안정, 재테크 관심, 워라밸",나혼산족,INFP,SNS 활발,미지정,"체면 중시, 집단주의적 성향"
69,가상인물_462519156,34,남성,충남,"전문직(의사, 변호사 등)",고졸,60-80%,미혼,"음악, 요리, 독서, 게임","경험 중시, 성공, 사회적 가치, 개성 표현, 가족, 재테크 관심, 워라밸, 개인 성장, 재물",나혼산족,INTJ,SNS 활발,미지정,"체면 중시, 가족 중심 문화, 선후배 관계 중시"
70,가상인물_599738807,77,여성,경기,임업,고졸,상위 20%,미혼,"여행, 재테크, 봉사활동, 운동, 영화/드라마","사회적 기여, 자유, 안정 추구, 안정, 공동체 의식, 건강, 환경 보호, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,SNS 활발,미지정,"정 문화, 가족 중심 문화, 체면 중시"
71,가상인물_395009853,49,남성,서울,중소기업 대표,고졸,상위 20%,미혼,"IT/기술, 봉사활동, 요리, 영화/드라마, 게임, 재테크","사회적 기여, 합리성, 자유, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",나혼산족,ENTJ,뉴스 앱/포털 이용,미지정,"정 문화, 가족 중심 문화"
72,가상인물_739874544,69,남성,경북,영업/마케팅,대졸,상위 20%,미혼,"영화/드라마, 반려동물, 독서","안정 추구, 안정, 희생, 개인 성장, 가족 중시, 전통 존중, 공동체 의식",나혼산족,ISTJ,웹툰/웹소설 소비,미지정,"정 문화, 체면 중시"
73,가상인물_191571393,99,여성,서울,임업,고졸,하위 20%,미혼,"요리, 패션/뷰티, 운동","사회적 기여, 자유, 가족, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생",실버군,ISFJ,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 집단주의적 성향"
74,가상인물_146023784,55,남성,대구,육아휴직중,중졸,20-40%,이혼,"봉사활동, 운동, 독서, 음악","성공, 합리성, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",황혼육아군,ISFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 체면 중시, 집단주의적 성향"
75,가상인물_325756370,33,여성,광주,기술직,대졸,40-60%,기혼,"반려동물, 여행, 영화/드라마, 재테크","경험 중시, 사회적 가치, 개성 표현, 가족, 재테크 관심, 건강, 워라밸",신혼부부군,ISFJ,유튜브/OTT 시청,미지정,"집단주의적 성향, 선후배 관계 중시, 가족 중심 문화"
76,가상인물_231619569,84,여성,경기,기타 무직,대졸,하위 20%,기혼,"요리, 패션/뷰티, 봉사활동, 독서","가족, 명예, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생",실버군,ISFJ,유튜브/OTT 시청,미지정,"체면 중시, 정 문화"
77,가상인물_175453311,40,여성,서울,육아휴직중,고졸,20-40%,미혼,"여행, 요리, 독서","경험 중시, 성공, 사회적 가치, 개성 표현, 재테크 관심, 건강, 환경 보호, 워라밸, 재물",영아자녀보유군,ISFJ,웹툰/웹소설 소비,미지정,"가족 중심 문화, 선후배 관계 중시, 집단주의적 성향"
78,가상인물_956846510,40,여성,전남,은퇴자,중졸,하위 20%,기혼,"게임, 운동, 패션/뷰티, 여행","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 가족, 안정, 재테크 관심, 환경 보호, 워라밸, 재물",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 가족 중심 문화"
79,가상인물_716615831,23,여성,경기,사무직,대졸,60-80%,이혼,"봉사활동, 영화/드라마, IT/기술, 독서","다양성 존중, 가치소비, 성공, 디지털 네이티브, 가족, 개인주의, 공정성 중시, 재물",나혼산족,INFJ,SNS 활발,미지정,"가족 중심 문화, 집단주의적 성향"
80,가상인물_278418093,43,여성,서울,교사,고졸,하위 20%,미혼,"반려동물, 여행, 게임, 운동","경험 중시, 사회적 가치, 개성 표현, 자유, 가족, 안정, 재테크 관심, 워라밸, 재물",나혼산족,ISFJ,뉴스 앱/포털 이용,미지정,체면 중시
81,가상인물_446798771,1,남성,전북,고등학생,초졸,20-40%,미혼,"영화/드라마, IT/기술, 봉사활동, 독서, 운동, 재테크","사회적 기여, 가족, 안정, 재물",중고등학생군,INFP,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 체면 중시, 가족 중심 문화"
82,가상인물_420712038,50,남성,경북,공무원,대졸,상위 20%,미혼,"재테크, 여행, IT/기술, 패션/뷰티, 요리","성공, 합리성, 자유, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",나혼산족,ENTJ,SNS 활발,미지정,"선후배 관계 중시, 정 문화, 집단주의적 성향"
83,가상인물_679100261,38,여성,전남,육아휴직중,고졸,40-60%,기혼,"요리, 여행, 독서","경험 중시, 사회적 가치, 개성 표현, 자유, 가족, 재테크 관심, 워라밸",영아자녀보유군,ISFJ,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 집단주의적 성향"
84,가상인물_335372284,9,남성,경기,초등학생,초졸,60-80%,기혼,"독서, 영화/드라마, 패션/뷰티","건강, 재물",초등자녀보유군,INFP,웹툰/웹소설 소비,미지정,정 문화
85,가상인물_293524133,31,여성,경남,프리랜서,대졸,상위 20%,미혼,"여행, 반려동물, 음악, 봉사활동, 패션/뷰티","경험 중시, 성공, 사회적 가치, 개성 표현, 자유, 가족, 재테크 관심, 환경 보호, 워라밸, 개인 성장",나혼산족,ENFP,SNS 활발,미지정,"정 문화, 가족 중심 문화, 선후배 관계 중시"
86,가상인물_128386319,51,남성,경기,사무직,대졸,상위 20%,기혼,"IT/기술, 반려동물, 운동, 봉사활동, 여행","합리성, 자유, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",액티브시니어족,ENTJ,뉴스 앱/포털 이용,미지정,체면 중시
